,address,categories,cc,city,country,crossStreet,distance,formattedAddress,id,labeledLatLngs,lat,lng,name,postalCode,state
23,Wind tunnel Road,Bar,IN,Bangaluru,India,,3123,"['Wind tunnel Road', 'Bangaluru', 'Karnātaka', 'India']",4be1b9cf87e42d7f5aad870b,"[{'label': 'display', 'lat': 12.9528343309627, 'lng': 77.65277072570717}]",12.952834330962697,77.65277072570717,Green Park Bar And restaurant,,Karnātaka
24,"#42/5, Opp. Shivajinagar Bus Stand",Indian Restaurant,IN,Bangalore,India,Central Street,1343,"['#42/5, Opp. Shivajinagar Bus Stand (Central Street)', 'Bangalore 560005', 'Karnātaka', 'India']",4b7bd6aaf964a52017702fe3,"[{'label': 'display', 'lat': 12.982176147381397, 'lng': 77.6032790142766}]",12.982176147381391,77.6032790142766,Imperial Restaurant,560005.0,Karnātaka
25,,Indian Restaurant,IN,,India,,761,['India'],56b5d590498e81e7321957c1,"[{'label': 'display', 'lat': 12.983172, 'lng': 77.59696}]",12.983172,77.59696,Indian Spicy Restaurant,,
26,,Kerala Restaurant,IN,,India,,1945,['India'],55ae0dbd498e48939073b5b2,"[{'label': 'display', 'lat': 12.928038763607711, 'lng': 77.67919960114445}]",12.928038763607711,77.67919960114446,Kairali Restaurant,,
27,,Indian Restaurant,IN,,India,,1492,['India'],4f490412e4b0d125f6dbe513,"[{'label': 'display', 'lat': 12.975773786117086, 'lng': 77.57798012013076}]",12.975773786117086,77.57798012013077,Kamat's RestauRant,,
28,"84, Southend Road",Bar,IN,Bangalore,India,,4137,"['84, Southend Road', 'Bangalore', 'Karnātaka', 'India']",4cd3bafda61c46880e0db528,"[{'label': 'display', 'lat': 12.945146712968477, 'lng': 77.57583100364036}]",12.945146712968473,77.57583100364036,Kargil Hilton Bar & Restaurant,,Karnātaka
29,,Vegetarian / Vegan Restaurant,IN,,India,,1662,['India'],5246f13611d224707a1f0c93,"[{'label': 'display', 'lat': 12.978296803246298, 'lng': 77.57599330813363}]",12.978296803246298,77.57599330813362,Kenchamba Restaurant,,
30,,Indian Restaurant,IN,Bangalore,India,,956,"['Bangalore', 'Karnātaka', 'India']",4c3197e766e40f471a43c58b,"[{'label': 'display', 'lat': 12.97594735, 'lng': 77.5994964}]",12.97594735,77.5994964,Khayal Restaurant,,Karnātaka
31,"3rd Cross Rd, C V Raman Nagar",Indian Restaurant,IN,Bangalore,India,,4496,"['3rd Cross Rd, C V Raman Nagar', 'Bangalore 560093', 'Karnātaka', 'India']",4fdb6774e4b049d37341b0a3,"[{'label': 'display', 'lat': 12.98525980158422, 'lng': 77.67342336130875}]",12.98525980158422,77.67342336130875,Khwahish Cafe And Restaurant,560093,Karnātaka
32,"Chandana, Kadubeesanahalli,",Kerala Restaurant,IN,Bangalore,India,,1315,"['Chandana, Kadubeesanahalli,', 'Bangalore 560103', 'Karnātaka', 'India']",5a4b3406c0f16320555920f7,"[{'label': 'display', 'lat': 12.939706, 'lng': 77.69114}]",12.939706,77.69114,Kidilum Kerala Restaurant,560103,Karnātaka
33,"Marigowda Rd, Bhuvarappa Layout, Opp. Forum Mall",Bar,IN,Bangalore,India,,7739,"['Marigowda Rd, Bhuvarappa Layout, Opp. Forum Mall', 'Bangalore', 'Karnātaka', 'India']",4c1b96f18b3aa5937567975f,"[{'label': 'display', 'lat': 12.934279201036064, 'lng': 77.61014482324245}]",12.934279201036064,77.61014482324245,Konian's Bar & Restaurant,,Karnātaka
34,Next to RMZ Ecospace,Indian Restaurant,IN,Bangalore,India,"Outer Ring Rd, Bellandur",2106,"['Next to RMZ Ecospace (Outer Ring Rd, Bellandur)', 'Bangalore India', 'Karnātaka', 'India']",4c15c5a0583c9c747bd63fa4,"[{'label': 'display', 'lat': 12.926639599778584, 'lng': 77.67853528261185}]",12.926639599778586,77.67853528261185,Koral Restaurant,India,Karnātaka
35,,Restaurant,IN,,India,,2014,['India'],551a5218498e593a02fc2223,"[{'label': 'display', 'lat': 12.948121079477769, 'lng': 77.69891373288385}]",12.948121079477769,77.69891373288384,Kritunga Restaurant,,
